eval,holdout_ood_type,method,layer,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
leave_one_ood_type_out,modern_prose,mahalanobis,2.0,149520,20240,0.5421355656087385,0.5492800157213138,,,,0.08054474708171207
leave_one_ood_type_out,modern_prose,standardized_activation_norm,2.0,149520,20240,0.4467273080649446,0.4670279176603667,,,,0.031809338521400776
leave_one_ood_type_out,modern_prose,deterministic_logistic,3.0,149520,20240,0.791640843529761,0.796022034239537,0.19142541619083758,0.5795733484663236,0.06659433925864136,0.33083657587548637
leave_one_ood_type_out,modern_prose,laplace_predictive_mean,3.0,149520,20240,0.7917189575422312,0.7960472886029069,0.19131319513186895,0.5792052125566111,0.06590584167812491,0.3309338521400778
leave_one_ood_type_out,modern_prose,ridge_classifier,3.0,149520,20240,0.7976433066897941,0.8011541614867469,,,,0.34503891050583657
leave_one_ood_type_out,modern_prose,mahalanobis,3.0,149520,20240,0.5364965894707234,0.5405795984328099,,,,0.07373540856031129
leave_one_ood_type_out,modern_prose,standardized_activation_norm,3.0,149520,20240,0.4437408339584017,0.46845604319731277,,,,0.03385214007782101
leave_one_ood_type_out,modern_prose,deterministic_logistic,4.0,149520,20240,0.7937198306846062,0.7993605126510123,0.1916365743476282,0.5815358826994468,0.07107967955912357,0.34503891050583657
leave_one_ood_type_out,modern_prose,laplace_predictive_mean,4.0,149520,20240,0.7937847987279858,0.7993515773267594,0.19152342045034423,0.5811108145275389,0.07043325517931044,0.3445525291828794
leave_one_ood_type_out,modern_prose,ridge_classifier,4.0,149520,20240,0.7984587425577798,0.8034749053063666,,,,0.3468871595330739
leave_one_ood_type_out,modern_prose,mahalanobis,4.0,149520,20240,0.5260216351788476,0.5290465235181371,,,,0.06293774319066148
leave_one_ood_type_out,modern_prose,standardized_activation_norm,4.0,149520,20240,0.4302098422874377,0.46600509224584724,,,,0.045233463035019454
leave_one_ood_type_out,modern_prose,deterministic_logistic,5.0,149520,20240,0.8036009211945057,0.8088640814806771,0.18638913279655356,0.5663237523295924,0.06600669849388703,0.351556420233463
leave_one_ood_type_out,modern_prose,laplace_predictive_mean,5.0,149520,20240,0.8037995562014595,0.8090117780113434,0.18619795570660436,0.5656921407063576,0.0651953873467769,0.3518482490272374
leave_one_ood_type_out,modern_prose,ridge_classifier,5.0,149520,20240,0.8093067503476942,0.8134621139381062,,,,0.35651750972762647
leave_one_ood_type_out,modern_prose,mahalanobis,5.0,149520,20240,0.5096249980466614,0.515044787431147,,,,0.05301556420233463
leave_one_ood_type_out,modern_prose,standardized_activation_norm,5.0,149520,20240,0.39815531581579233,0.4434447145867674,,,,0.032198443579766534
leave_one_ood_type_out,python,entropy,,150480,20840,0.5908268506009331,0.5870088678717953,,,,0.08033088235294118
leave_one_ood_type_out,python,neg_max_prob,,150480,20840,0.5732445498907395,0.5523532460061217,,,,0.03566176470588235
leave_one_ood_type_out,python,loss,,150480,20840,0.7826520650617175,0.8220991553723347,,,,0.4340073529411765
leave_one_ood_type_out,python,deterministic_logistic,0.0,150480,20840,0.5614153212113159,0.6456520313843879,0.28070035009322303,0.8589346922165021,0.12696636665842104,0.2000919117647059
leave_one_ood_type_out,python,laplace_predictive_mean,0.0,150480,20840,0.5617086590848689,0.6458426960367587,0.28035983807176995,0.8555934388862821,0.12583485746830156,0.20137867647058824
leave_one_ood_type_out,python,ridge_classifier,0.0,150480,20840,0.5569568946742853,0.6401847109689303,,,,0.1917279411764706
leave_one_ood_type_out,python,mahalanobis,0.0,150480,20840,0.8295938348984172,0.851360280163468,,,,0.42463235294117646
leave_one_ood_type_out,python,standardized_activation_norm,0.0,150480,20840,0.6341552699769667,0.7091261916093294,,,,0.24485294117647058
leave_one_ood_type_out,python,deterministic_logistic,1.0,150480,20840,0.6829546863926294,0.7199550510674362,0.24842242782872645,0.832401726764554,0.13093966761548284,0.22058823529411764
leave_one_ood_type_out,python,laplace_predictive_mean,1.0,150480,20840,0.6834201788772738,0.7201880941472738,0.24808927302985564,0.829345363348163,0.12988165107170815,0.22169117647058822
leave_one_ood_type_out,python,ridge_classifier,1.0,150480,20840,0.6720072892673635,0.7075032633642451,,,,0.19990808823529413
leave_one_ood_type_out,python,mahalanobis,1.0,150480,20840,0.8581123390621308,0.8684385885491939,,,,0.43988970588235293
leave_one_ood_type_out,python,standardized_activation_norm,1.0,150480,20840,0.6071703403688282,0.6860033352153367,,,,0.221875
leave_one_ood_type_out,python,deterministic_logistic,2.0,150480,20840,0.7164023926588707,0.7616175856295362,0.22844285369963852,0.8252876705204667,0.09764970491682899,0.2850183823529412
leave_one_ood_type_out,python,laplace_predictive_mean,2.0,150480,20840,0.7165955365579967,0.7617590242919362,0.22828892380045276,0.8232047008596055,0.09749951922995251,0.2854779411764706
leave_one_ood_type_out,python,ridge_classifier,2.0,150480,20840,0.7108108952353531,0.7544234485928781,,,,0.27426470588235297
